ts,price,mrp,in_stock,seller,shipper
2026-08-01T19:38:35+00:00,2748.06,6148.00,1,,
2026-08-01T20:53:02+00:00,2748.06,6148.00,1,,
2026-08-01T20:54:36+00:00,2748.06,6148.00,1,,
2026-08-01T20:57:02+00:00,2748.06,6148.00,1,,
2026-08-01T21:56:21+00:00,2748.06,6148.00,1,,
2026-08-01T22:57:23+00:00,2748.06,6148.00,1,,
2026-08-02T00:01:57+00:00,2748.06,6148.00,1,,
2026-08-02T04:03:55+00:00,2748.06,6148.00,1,,
2026-08-02T07:06:29+00:00,2748.06,6148.00,1,,
2026-08-02T09:33:12+00:00,2748.06,6148.00,1,,
2026-08-02T11:16:35+00:00,2748.06,6148.00,1,,
2026-08-02T12:34:34+00:00,2748.06,6148.00,1,,
2026-08-02T14:28:31+00:00,2748.06,6148.00,1,,
2026-08-02T15:41:01+00:00,2748.06,6148.00,1,,
2026-08-02T16:58:50+00:00,2748.06,6148.00,1,,
2026-08-02T18:05:52+00:00,2748.06,6148.00,1,,
2026-08-02T19:43:35+00:00,2748.06,6148.00,1,,
2026-08-02T20:55:32+00:00,2748.06,6148.00,1,,
2026-08-02T21:57:20+00:00,2748.06,6148.00,1,,
2026-08-02T23:00:08+00:00,2748.06,6148.00,1,,
2026-08-03T00:06:50+00:00,2748.06,6148.00,1,,
2026-08-03T04:06:21+00:00,2748.06,6148.00,1,,
2026-08-03T07:57:25+00:00,2748.06,6148.00,1,,
2026-08-03T11:30:56+00:00,2748.06,6148.00,1,,
2026-08-03T14:38:53+00:00,2748.06,6148.00,1,,
2026-08-03T17:09:04+00:00,2748.06,6148.00,1,,
2026-08-03T19:06:06+00:00,2748.06,6148.00,1,,
2026-08-03T20:44:01+00:00,2748.06,6148.00,1,,
2026-08-03T22:09:02+00:00,2748.06,6148.00,1,,
2026-08-03T23:36:04+00:00,2748.06,6148.00,1,,
